activity_type,company_name,full_name,job_title,email,phone,address,city,state,country,zip_code,industry,nature_of_business,engagement_level,company_size,company_revenue,last_activity,content_name,asset_description,booth_scan_notes,consent_statement_served,consent_response
Exhibitor Bookmarked,Crest Analytics,Jerry Nguyen,SOC Analyst,jerryn@crestanalyti.co,(372) 656-2895,7999 Spring St,Los Angeles,CA,United States  ,90001,Oil And Gas Extraction,Oil And Gas Extraction,Low,1K-5K,$50M-$100M,2026-06-10 11:06:09,Hacking The AI Stack: Live Red Team Demo,,,Delegate consented to badge scan,Accepted
Exhibitor Bookmarked,Matrix Defense,Margaret Parker,Risk Analyst,mparker@matrixdefens.org,(747) 848-9060,1581 Hill Rd,San Francisco,CA,United States  ,94102,Wired And Wireless Telecommunications Carriers,Wired And Wireless Telecommunications Carriers,Low,101-500,$500M-$1B,2026-06-10 14:51:47,XDR Platform Overview,,,Delegate acknowledged event terms,Acknowledged
Product View,Zenith Labs,Ann Parker,Cloud Security Engineer,aparker@zenithlabs.com,(962) 318-7025,2187 Hill Rd,Minneapolis,MN,United States  ,55401,Educational Services,Educational Services,High,1-100,$100M-$500M,2026-06-10 09:07:35,Not Applicable,,,Delegate acknowledged event terms,Acknowledged
Product View,Nebula Cloud,Martha Harris,Security Program Manager,marthah@nebulacloud.com,+2 651-8546,5276 River Rd,Seoul,Seoul,South Korea,04524,"Data Processing, Hosting, And Related Services","Data Processing, Hosting, And Related Services",Medium,1K-5K,More Than $10B,2026-06-10 16:17:50,"Research, News, And Perspectives",,,Delegate consented to badge scan,Accepted
Product View,Evergreen IT,Larry Jackson,Risk Analyst,larry@evergreenit.io,(921) 585-1963,5558 River Rd,Chicago,IL,United States  ,60601,Aerospace Product And Parts Manufacturing,Aerospace Product And Parts Manufacturing,Low,1K-5K,Less Than $1M,2026-06-10 11:15:32,Threat Intelligence Briefing,,,Delegate consented to badge scan,Accepted
Badge Scan,Coral Systems,Tyler Hill,Security Consultant,tylerh@coralsystems.net,(273) 740-5637,4726 Maple Dr,Dallas,TX,United States  ,75201,"Architectural, Engineering, And Related Services","Architectural, Engineering, And Related Services",Very High,50K+,$1M-$10M,2026-06-10 10:22:58,Cloud Security Posture Management Demo,,,Delegate acknowledged event terms,Acknowledged
Content Download,Matrix Defense,Lawrence Miller,Chief Privacy Officer,lmiller@matrixdefens.org,+96 300-1149,6034 Washington Ave,Paris,Ile-de-France,France,75001,Software Publishers,Software Publishers,Very Low,501-1K,$1B-$10B,2026-06-10 15:46:31,"Research, News, And Perspectives",,,Delegate consented to badge scan,Accepted
Exhibitor Bookmarked,Sterling Systems,Joseph Gonzalez,Systems Administrator,josephg@sterlingsyst.io,+32 134-2946,4046 Forest Ave,Zurich,Zurich,Switzerland,8001,Insurance Carriers,Insurance Carriers,High,5K-10K,$10M-$50M,2026-06-10 14:50:00,Hacking The AI Stack: Live Red Team Demo,,,Delegate consented to badge scan,Accepted
Content Download,Nebula Cloud,Noah Wood,SOC Manager,nwood@nebulacloud.com,+3 700-8856,4584 Harbor Dr,London,England,United Kingdom Of Great Britain And Northern Ireland (The),EC1,"Data Processing, Hosting, And Related Services","Data Processing, Hosting, And Related Services",Very High,501-1K,$1B-$10B,2026-06-10 16:48:51,XDR Platform Overview,,,Delegate consented to badge scan,Accepted
Product View,Vanguard Tech,Scott Kelly,Malware Analyst,scottk@vanguardtech.co,(265) 731-9830,2133 Maple Dr,Denver,CO,United States  ,80201,Depository Credit Intermediation,Depository Credit Intermediation,Very Low,501-1K,$10M-$50M,2026-06-10 08:05:48,Container Security Workshop,,,Delegate consented to badge scan,Accepted
Exhibitor Bookmarked,Cipher Defense,Zachary Green,Security Operations Lead,zachary.green@cipherdefens.com,(327) 718-5891,6056 Spring St,Chicago,IL,United States  ,60601,Scientific Research And Development Services,Scientific Research And Development Services,Low,50K+,Less Than $1M,2026-06-10 12:31:15,Zero Trust Architecture Deep Dive,,,Delegate consented to badge scan,Accepted
Content Download,Forge Digital,Barbara Gutierrez,VP Engineering,bgutierrez@forgedigital.org,+89 201-1732,3984 Oak Ave,Mexico City,CDMX,Mexico,06600,"Management, Scientific, And Technical Consulting Services","Management, Scientific, And Technical Consulting Services",Low,501-1K,$100M-$500M,2026-06-10 11:55:04,"Research, News, And Perspectives",,,Delegate acknowledged event terms,Acknowledged
Product View,Harbor IT,Teresa Ramirez,Security Architect,tramirez@harborit.org,+52 567-2364,4264 Mission St,Singapore,Singapore,Singapore,048616,"Management, Scientific, And Technical Consulting Services","Management, Scientific, And Technical Consulting Services",Low,1K-5K,$1M-$10M,2026-06-10 12:54:15,AI-Powered SOC Walkthrough,,,Delegate acknowledged event terms,Acknowledged
Exhibitor Bookmarked,Coral Systems,Catherine Reed,VP Engineering,creed@coralsystems.net,+10 376-3041,8807 Harbor Dr,Dublin,Dublin,Ireland,D01,Activities Related To Credit Intermediation,Activities Related To Credit Intermediation,Very High,50K+,$1M-$10M,2026-06-10 13:59:44,Hacking The AI Stack: Live Red Team Demo,,,Delegate consented to badge scan,Accepted
Exhibitor Bookmarked,Slate Digital,Raymond Nelson,CISO,raymond.nelson@slatedigital.com,+16 279-9625,5122 Washington Ave,London,England,United Kingdom Of Great Britain And Northern Ireland (The),EC1,"Securities, Commodity Contracts, And Other Financial Investments","Securities, Commodity Contracts, And Other Financial Investments",High,101-500,Unavailable,2026-06-10 14:21:05,Not Applicable,,,Delegate acknowledged event terms,Acknowledged
Badge Scan,Nova Platforms,Larry Peterson,VP Engineering,larryp@novaplatform.co,(688) 806-3090,4344 Main St,Calgary,Alberta,Canada,T2P,Insurance Carriers,Insurance Carriers,Very High,501-1K,$10M-$50M,2026-06-10 10:35:50,XDR Platform Overview,,,Delegate consented to badge scan,Accepted
Product View,Nova Platforms,Sara Patel,Data Protection Officer,sara@novaplatform.org,(482) 638-9529,3848 Lake St,Austin,TX,United States  ,78701,"Securities, Commodity Contracts, And Other Financial Investments","Securities, Commodity Contracts, And Other Financial Investments",Very Low,5K-10K,$1B-$10B,2026-06-10 13:41:35,Hacking The AI Stack: Live Red Team Demo,,,Delegate acknowledged event terms,Acknowledged
Badge Scan,Obsidian Tech,Charles Martinez,Cloud Security Engineer,charlesm@obsidiantech.com,(893) 720-3235,7958 Broadway,Toronto,Ontario,Canada,M5A,Software Publishers,Software Publishers,Very High,101-500,$1B-$10B,2026-06-10 08:15:10,Not Applicable,,,Delegate consented to badge scan,Accepted
Product View,Nexus Technologies,Timothy Myers,Security Awareness Manager,tmyers@nexustechnol.io,+10 475-3184,8516 Valley Dr,Seoul,Seoul,South Korea,04524,"Securities, Commodity Contracts, And Other Financial Investments","Securities, Commodity Contracts, And Other Financial Investments",Very Low,50K+,More Than $10B,2026-06-10 14:54:04,"Research, News, And Perspectives",,,Delegate consented to badge scan,Accepted
Badge Scan,Cascade Solutions,Catherine Anderson,Cloud Architect,catherinea@cascadesolut.com,(422) 512-9446,680 Market St,Toronto,Ontario,Canada,M5A,Aerospace Product And Parts Manufacturing,Aerospace Product And Parts Manufacturing,Very High,Unavailable,Less Than $1M,2026-06-10 14:28:34,Defensive AI Security Panel,,,Delegate acknowledged event terms,Acknowledged
Badge Scan,Prism Networks,Lauren Nelson,Penetration Tester,laurenn@prismnetwork.com,+63 302-2388,8768 Church St,Singapore,Singapore,Singapore,048616,Computer Systems Design And Related Services,Computer Systems Design And Related Services,Low,50K+,$1M-$10M,2026-06-10 16:52:23,Defensive AI Security Panel,,,Delegate acknowledged event terms,Acknowledged
Exhibitor Bookmarked,Coral Systems,Donna Foster,Incident Response Lead,donna@coralsystems.net,(311) 649-8198,2751 River Rd,Vancouver,British Columbia,Canada,V6B,"Electric Power Generation, Transmission And Distribution","Electric Power Generation, Transmission And Distribution",Medium,50K+,Less Than $1M,2026-06-10 14:32:22,AI-Powered SOC Walkthrough,,,Delegate acknowledged event terms,Acknowledged
Exhibitor Bookmarked,Forge Digital,Mark Harris,Security Consultant,mark@forgedigital.io,(321) 631-9012,9113 Broadway,Chicago,IL,United States  ,60601,"Accounting, Tax Preparation, Bookkeeping, And Payroll Services","Accounting, Tax Preparation, Bookkeeping, And Payroll Services",Low,10K-50K,$1B-$10B,2026-06-10 17:08:09,XDR Platform Overview,,,Delegate acknowledged event terms,Acknowledged
Exhibitor Bookmarked,Eclipse Security,Dorothy Anderson,Systems Administrator,dorothya@eclipsesecur.org,(811) 955-1131,7216 Broadway,San Francisco,CA,United States  ,94102,"Management, Scientific, And Technical Consulting Services","Management, Scientific, And Technical Consulting Services",Medium,5K-10K,More Than $10B,2026-06-10 09:30:14,XDR Platform Overview,,,Delegate acknowledged event terms,Acknowledged
Exhibitor Bookmarked,Sentinel Corp,Amy Richardson,SOC Manager,amyr@sentinelcorp.io,+91 901-2688,8330 Lincoln Blvd,Dublin,Dublin,Ireland,D01,"Securities, Commodity Contracts, And Other Financial Investments","Securities, Commodity Contracts, And Other Financial Investments",Low,1K-5K,$10M-$50M,2026-06-10 12:10:32,Hacking The AI Stack: Live Red Team Demo,,,Delegate acknowledged event terms,Acknowledged
Exhibitor Bookmarked,Vertex Solutions,Dorothy Phillips,Deputy CISO,dorothyp@vertexsoluti.com,+53 637-6020,3891 Cedar Blvd,London,England,United Kingdom Of Great Britain And Northern Ireland (The),EC1,"Management, Scientific, And Technical Consulting Services","Management, Scientific, And Technical Consulting Services",Medium,50K+,More Than $10B,2026-06-10 09:07:00,Container Security Workshop,,,Delegate acknowledged event terms,Acknowledged
Badge Scan,Quantum Systems,Joyce Chavez,Risk Analyst,joyce.chavez@quantumsyste.org,+24 141-1008,954 Hill Rd,Paris,Ile-de-France,France,75001,Pharmaceutical And Medicine Manufacturing,Pharmaceutical And Medicine Manufacturing,Low,5K-10K,More Than $10B,2026-06-10 13:06:00,Not Applicable,,,Delegate acknowledged event terms,Acknowledged
Content Download,Meridian Data,Betty Parker,CTO,bparker@meridiandata.com,(539) 569-6920,9748 Church St,Vancouver,British Columbia,Canada,V6B,"Data Processing, Hosting, And Related Services","Data Processing, Hosting, And Related Services",Very High,10K-50K,$50M-$100M,2026-06-10 13:01:24,AI-Powered SOC Walkthrough,,,Delegate acknowledged event terms,Acknowledged
Exhibitor Bookmarked,Pinnacle Software,Frances Roberts,VP of Security,frances.roberts@pinnaclesoft.co,(276) 759-6618,5039 Broadway,Denver,CO,United States  ,80201,Motor Vehicle Manufacturing,Motor Vehicle Manufacturing,Low,501-1K,Less Than $1M,2026-06-10 10:19:37,AI-Powered SOC Walkthrough,,,Delegate consented to badge scan,Accepted
Product View,Matrix Defense,Olivia Peterson,SOC Manager,olivia.peterson@matrixdefens.net,(370) 813-5491,2212 Lake St,Vancouver,British Columbia,Canada,V6B,"Data Processing, Hosting, And Related Services","Data Processing, Hosting, And Related Services",Very Low,1-100,$50M-$100M,2026-06-10 15:14:10,Threat Intelligence Briefing,,,Delegate acknowledged event terms,Acknowledged
Content Download,Orion Networks,Sean Rogers,Endpoint Security Engineer,srogers@orionnetwork.net,(388) 203-3621,9469 Maple Dr,Dallas,TX,United States  ,75201,Oil And Gas Extraction,Oil And Gas Extraction,Very High,1-100,Unavailable,2026-06-10 16:17:27,Container Security Workshop,,,Delegate acknowledged event terms,Acknowledged
Product View,Prism Networks,Austin King,Security Operations Lead,austin@prismnetwork.co,(240) 854-3427,4650 River Rd,Minneapolis,MN,United States  ,55401,Pharmaceutical And Medicine Manufacturing,Pharmaceutical And Medicine Manufacturing,Medium,1-100,$50M-$100M,2026-06-10 11:49:20,Container Security Workshop,,,Delegate consented to badge scan,Accepted
Product View,Ember Technologies,Sandra Smith,Endpoint Security Engineer,sandra@embertechnol.net,+42 158-1170,5924 Cedar Blvd,Singapore,Singapore,Singapore,048616,Wired And Wireless Telecommunications Carriers,Wired And Wireless Telecommunications Carriers,Medium,501-1K,$100M-$500M,2026-06-10 08:17:04,Container Security Workshop,,,Delegate consented to badge scan,Accepted
Product View,Obsidian Tech,Frances Wilson,Chief Privacy Officer,francesw@obsidiantech.io,+20 556-4796,7209 Valley Dr,Sao Paulo,SP,Brazil,01310,Motor Vehicle Manufacturing,Motor Vehicle Manufacturing,Low,Unavailable,$1M-$10M,2026-06-10 17:01:43,"Research, News, And Perspectives",,,Delegate consented to badge scan,Accepted
Content Download,Meridian Data,Lauren White,Deputy CISO,lwhite@meridiandata.io,(271) 346-2180,7086 Cedar Blvd,Los Angeles,CA,United States  ,90001,Software Publishers,Software Publishers,High,50K+,$1M-$10M,2026-06-10 17:35:22,"Research, News, And Perspectives",,,Delegate acknowledged event terms,Acknowledged
Content Download,Eclipse Security,Patricia Cox,CISO,patricia@eclipsesecur.io,+19 742-1221,253 Harbor Dr,Sao Paulo,SP,Brazil,01310,Computer Systems Design And Related Services,Computer Systems Design And Related Services,Very High,10K-50K,$1M-$10M,2026-06-10 11:40:59,"Research, News, And Perspectives",,,Delegate consented to badge scan,Accepted
Exhibitor Bookmarked,Trident Systems,Jeremy Ross,Cloud Architect,jeremy@tridentsyste.com,+81 656-3016,447 Oak Ave,Dubai,Dubai,United Arab Emirates,00000,Aerospace Product And Parts Manufacturing,Aerospace Product And Parts Manufacturing,Very Low,5K-10K,$1M-$10M,2026-06-10 17:18:44,XDR Platform Overview,,,Delegate acknowledged event terms,Acknowledged
Exhibitor Bookmarked,Zenith Labs,Paul Smith,Threat Intelligence Analyst,paul.smith@zenithlabs.org,(703) 373-2804,3778 Harbor Dr,San Francisco,CA,United States  ,94102,Activities Related To Credit Intermediation,Activities Related To Credit Intermediation,Medium,10K-50K,$1M-$10M,2026-06-10 14:04:30,Hacking The AI Stack: Live Red Team Demo,,,Delegate acknowledged event terms,Acknowledged
Exhibitor Bookmarked,Vertex Solutions,Raymond Hernandez,Security Program Manager,rhernandez@vertexsoluti.co,(883) 903-5940,4802 Valley Dr,Calgary,Alberta,Canada,T2P,Software Publishers,Software Publishers,Very Low,5K-10K,More Than $10B,2026-06-10 14:43:10,Zero Trust Architecture Deep Dive,,,Delegate acknowledged event terms,Acknowledged
Product View,Sentinel Corp,Karen Smith,Chief Privacy Officer,karens@sentinelcorp.co,(944) 485-3370,1581 Hill Rd,Phoenix,AZ,United States  ,85001,"Management, Scientific, And Technical Consulting Services","Management, Scientific, And Technical Consulting Services",Low,501-1K,$1B-$10B,2026-06-10 14:25:08,Cloud Security Posture Management Demo,,,Delegate acknowledged event terms,Acknowledged
Product View,Aegis Solutions,Christian Diaz,Forensics Analyst,christiand@aegissolutio.co,+69 649-4770,6401 Elm St,Tel Aviv,Tel Aviv,Israel,6100000,"Management, Scientific, And Technical Consulting Services","Management, Scientific, And Technical Consulting Services",Very High,50K+,Unavailable,2026-06-10 11:59:34,Hacking The AI Stack: Live Red Team Demo,,,Delegate consented to badge scan,Accepted
Badge Scan,Nexus Technologies,Jacob Campbell,SOC Analyst,jcampbell@nexustechnol.com,(501) 671-3361,9135 Mission St,Washington,DC,United States  ,20001,"Data Processing, Hosting, And Related Services","Data Processing, Hosting, And Related Services",Low,1K-5K,$50M-$100M,2026-06-10 09:01:01,"Research, News, And Perspectives",,,Delegate acknowledged event terms,Acknowledged
Content Download,Matrix Defense,Donald Hughes,Incident Response Lead,donaldh@matrixdefens.com,(808) 361-1494,2506 Valley Dr,Phoenix,AZ,United States  ,85001,Computer Systems Design And Related Services,Computer Systems Design And Related Services,Low,101-500,$50M-$100M,2026-06-10 09:24:10,Defensive AI Security Panel,,,Delegate acknowledged event terms,Acknowledged
Content Download,Sentinel Corp,Sara Turner,Cloud Architect,sara@sentinelcorp.net,(313) 359-1983,626 Lincoln Blvd,Miami,FL,United States  ,33101,"Management, Scientific, And Technical Consulting Services","Management, Scientific, And Technical Consulting Services",Low,501-1K,Less Than $1M,2026-06-10 15:12:57,XDR Platform Overview,,,Delegate acknowledged event terms,Acknowledged
Product View,Matrix Defense,Kyle Peterson,Security Operations Lead,kpeterson@matrixdefens.com,(960) 416-7560,1017 Cedar Blvd,Vancouver,British Columbia,Canada,V6B,"Securities, Commodity Contracts, And Other Financial Investments","Securities, Commodity Contracts, And Other Financial Investments",High,501-1K,Unavailable,2026-06-10 09:24:19,Threat Intelligence Briefing,,,Delegate acknowledged event terms,Acknowledged
Content Download,Ember Technologies,Jeremy Green,Incident Response Lead,jeremy.green@embertechnol.net,+10 471-6496,559 Cedar Blvd,Amsterdam,North Holland,Netherlands,1012,Software Publishers,Software Publishers,Medium,501-1K,Unavailable,2026-06-10 09:56:17,Hacking The AI Stack: Live Red Team Demo,,,Delegate consented to badge scan,Accepted
Exhibitor Bookmarked,Nexus Technologies,Jason Kim,VP of Security,jason.kim@nexustechnol.io,+73 909-8926,848 Oak Ave,Paris,Ile-de-France,France,75001,"Architectural, Engineering, And Related Services","Architectural, Engineering, And Related Services",Medium,101-500,$100M-$500M,2026-06-10 08:09:15,Cloud Security Posture Management Demo,,,Delegate consented to badge scan,Accepted
Product View,Stratos Computing,Larry Gomez,SOC Analyst,larry.gomez@stratoscompu.com,(714) 993-3460,488 Washington Ave,Los Angeles,CA,United States  ,90001,"Accounting, Tax Preparation, Bookkeeping, And Payroll Services","Accounting, Tax Preparation, Bookkeeping, And Payroll Services",High,Unavailable,Less Than $1M,2026-06-10 13:16:53,"Research, News, And Perspectives",,,Delegate acknowledged event terms,Acknowledged
Badge Scan,Sapphire Systems,Joshua Mendoza,Threat Intelligence Analyst,joshua@sapphiresyst.co,(658) 334-6554,4865 Valley Dr,Boston,MA,United States  ,02101,"Securities, Commodity Contracts, And Other Financial Investments","Securities, Commodity Contracts, And Other Financial Investments",Very High,50K+,Less Than $1M,2026-06-10 15:03:23,AI-Powered SOC Walkthrough,,,Delegate consented to badge scan,Accepted
Exhibitor Bookmarked,Crest Analytics,Rebecca Ward,Vulnerability Management Engineer,rebecca.ward@crestanalyti.com,(710) 296-8451,5239 Pine Ln,Seattle,WA,United States  ,98101,Scientific Research And Development Services,Scientific Research And Development Services,Medium,501-1K,$1M-$10M,2026-06-10 13:05:57,Not Applicable,,,Delegate acknowledged event terms,Acknowledged
Exhibitor Bookmarked,Pinnacle Software,Janet Rivera,Cloud Architect,janetr@pinnaclesoft.com,(240) 572-5696,6668 Mission St,Seattle,WA,United States  ,98101,General Medical And Surgical Hospitals,General Medical And Surgical Hospitals,Very High,501-1K,More Than $10B,2026-06-10 14:40:34,Container Security Workshop,,,Delegate acknowledged event terms,Acknowledged
Content Download,Pinnacle Software,Benjamin Mitchell,Third Party Risk Manager,bmitchell@pinnaclesoft.io,+14 397-7157,2692 Washington Ave,Tel Aviv,Tel Aviv,Israel,6100000,Pharmaceutical And Medicine Manufacturing,Pharmaceutical And Medicine Manufacturing,High,101-500,$50M-$100M,2026-06-10 15:04:02,Threat Intelligence Briefing,,,Delegate consented to badge scan,Accepted
Content Download,Sapphire Systems,Nancy Hall,Penetration Tester,nancyh@sapphiresyst.io,+43 166-6198,5710 Lincoln Blvd,Stockholm,Stockholm,Sweden,11120,Educational Services,Educational Services,High,1K-5K,More Than $10B,2026-06-10 10:04:52,Zero Trust Architecture Deep Dive,,,Delegate consented to badge scan,Accepted
Content Download,Marble Data,Kyle Jones,VP Engineering,kyle.jones@marbledata.co,(570) 640-8756,3596 Oak Ave,Phoenix,AZ,United States  ,85001,"Management, Scientific, And Technical Consulting Services","Management, Scientific, And Technical Consulting Services",Low,1-100,$1B-$10B,2026-06-10 12:54:44,Zero Trust Architecture Deep Dive,,,Delegate consented to badge scan,Accepted
Product View,Sentinel Corp,Amanda Hernandez,CTO,amanda@sentinelcorp.co,(388) 255-2514,7121 Hill Rd,Seattle,WA,United States  ,98101,"Accounting, Tax Preparation, Bookkeeping, And Payroll Services","Accounting, Tax Preparation, Bookkeeping, And Payroll Services",Medium,501-1K,$50M-$100M,2026-06-10 14:21:30,XDR Platform Overview,,,Delegate consented to badge scan,Accepted
Content Download,Marble Data,Evelyn Stewart,CISO,estewart@marbledata.co,(531) 880-6185,332 River Rd,Dallas,TX,United States  ,75201,"Data Processing, Hosting, And Related Services","Data Processing, Hosting, And Related Services",High,501-1K,More Than $10B,2026-06-10 13:45:36,Hacking The AI Stack: Live Red Team Demo,,,Delegate acknowledged event terms,Acknowledged
Content Download,Onyx Security,Jose King,SIEM Engineer,josek@onyxsecurity.io,(913) 759-3721,9945 Forest Ave,New York,NY,United States  ,10001,"Management, Scientific, And Technical Consulting Services","Management, Scientific, And Technical Consulting Services",Low,10K-50K,$50M-$100M,2026-06-10 11:28:47,Not Applicable,,,Delegate acknowledged event terms,Acknowledged
Product View,Falcon Security,Patricia Mitchell,IT Manager,patricia@falconsecuri.net,(755) 636-9571,5602 Harbor Dr,San Francisco,CA,United States  ,94102,Aerospace Product And Parts Manufacturing,Aerospace Product And Parts Manufacturing,Low,Unavailable,$1B-$10B,2026-06-10 14:47:32,"Research, News, And Perspectives",,,Delegate consented to badge scan,Accepted
Content Download,Horizon Analytics,Teresa Kim,Blue Team Lead,teresa.kim@horizonanaly.org,+12 765-1269,6838 Harbor Dr,Mexico City,CDMX,Mexico,06600,"Accounting, Tax Preparation, Bookkeeping, And Payroll Services","Accounting, Tax Preparation, Bookkeeping, And Payroll Services",High,101-500,More Than $10B,2026-06-10 17:09:48,Not Applicable,,,Delegate acknowledged event terms,Acknowledged
Exhibitor Bookmarked,Forge Digital,David Bennett,Endpoint Security Engineer,david.bennett@forgedigital.net,+45 912-8601,6865 Forest Ave,Tel Aviv,Tel Aviv,Israel,6100000,"Securities, Commodity Contracts, And Other Financial Investments","Securities, Commodity Contracts, And Other Financial Investments",Very Low,10K-50K,$50M-$100M,2026-06-10 17:14:23,Zero Trust Architecture Deep Dive,,,Delegate acknowledged event terms,Acknowledged
Content Download,Titan Systems,Jonathan James,Red Team Lead,jonathan@titansystems.com,+67 939-6201,5590 Pine Ln,Paris,Ile-de-France,France,75001,"Securities, Commodity Contracts, And Other Financial Investments","Securities, Commodity Contracts, And Other Financial Investments",Very High,50K+,$50M-$100M,2026-06-10 15:07:28,AI-Powered SOC Walkthrough,,,Delegate consented to badge scan,Accepted
Exhibitor Bookmarked,Trident Systems,Tyler Miller,Malware Analyst,tmiller@tridentsyste.co,+13 827-3069,8361 Harbor Dr,Seoul,Seoul,South Korea,04524,"Accounting, Tax Preparation, Bookkeeping, And Payroll Services","Accounting, Tax Preparation, Bookkeeping, And Payroll Services",Very High,50K+,$100M-$500M,2026-06-10 10:53:43,Cloud Security Posture Management Demo,,,Delegate consented to badge scan,Accepted
Content Download,Pinnacle Software,Edward Lopez,Deputy CISO,edwardl@pinnaclesoft.co,(225) 960-3138,7533 Valley Dr,San Francisco,CA,United States  ,94102,Computer Systems Design And Related Services,Computer Systems Design And Related Services,Low,1K-5K,$50M-$100M,2026-06-10 13:24:19,AI-Powered SOC Walkthrough,,,Delegate consented to badge scan,Accepted
Product View,Obsidian Tech,Martha Young,Cloud Security Engineer,martha.young@obsidiantech.io,+59 710-3010,1854 River Rd,Sao Paulo,SP,Brazil,01310,Insurance Carriers,Insurance Carriers,Medium,5K-10K,$10M-$50M,2026-06-10 09:41:20,Hacking The AI Stack: Live Red Team Demo,,,Delegate acknowledged event terms,Acknowledged
Badge Scan,Polaris AI,Christian Campbell,Red Team Lead,christianc@polarisai.io,+49 421-8387,2739 Pine Ln,Amsterdam,North Holland,Netherlands,1012,"Electric Power Generation, Transmission And Distribution","Electric Power Generation, Transmission And Distribution",Medium,1-100,$10M-$50M,2026-06-10 08:34:21,Hacking The AI Stack: Live Red Team Demo,,,Delegate consented to badge scan,Accepted
Badge Scan,Aegis Solutions,Debra Hall,SOC Manager,debra.hall@aegissolutio.io,(730) 724-3496,3643 Valley Dr,Montreal,Quebec,Canada,H2X,Software Publishers,Software Publishers,Very Low,1K-5K,Less Than $1M,2026-06-10 13:57:45,"Research, News, And Perspectives",,,Delegate acknowledged event terms,Acknowledged
Product View,Obsidian Tech,Jeffrey Hernandez,Application Security Engineer,jeffreyh@obsidiantech.org,(963) 707-8144,8499 Forest Ave,Portland,OR,United States  ,97201,Pharmaceutical And Medicine Manufacturing,Pharmaceutical And Medicine Manufacturing,Low,5K-10K,$10M-$50M,2026-06-10 11:36:08,Zero Trust Architecture Deep Dive,,,Delegate acknowledged event terms,Acknowledged
Product View,Harbor IT,Tyler Wilson,IT Manager,tyler@harborit.net,+41 737-2762,6375 Mission St,Birmingham,England,United Kingdom Of Great Britain And Northern Ireland (The),B1,Software Publishers,Software Publishers,Low,10K-50K,$500M-$1B,2026-06-10 09:10:11,Threat Intelligence Briefing,,,Delegate consented to badge scan,Accepted
Content Download,Stratos Computing,Kevin Jones,Malware Analyst,kevinj@stratoscompu.org,(390) 566-5019,1290 Maple Dr,Vancouver,British Columbia,Canada,V6B,Aerospace Product And Parts Manufacturing,Aerospace Product And Parts Manufacturing,Medium,10K-50K,$10M-$50M,2026-06-10 13:43:27,Hacking The AI Stack: Live Red Team Demo,,,Delegate acknowledged event terms,Acknowledged
Product View,Lunar Labs,Robert Green,Email Security Analyst,robertg@lunarlabs.com,(490) 816-4476,8738 Maple Dr,New York,NY,United States  ,10001,Other Information Services,Other Information Services,Very Low,5K-10K,$1M-$10M,2026-06-10 15:40:39,XDR Platform Overview,,,Delegate acknowledged event terms,Acknowledged
Badge Scan,Atlas Computing,Samantha Green,VP of Security,samanthag@atlascomputi.com,(375) 815-6355,9785 Forest Ave,Los Angeles,CA,United States  ,90001,"Electric Power Generation, Transmission And Distribution","Electric Power Generation, Transmission And Distribution",Low,1-100,$100M-$500M,2026-06-10 08:19:28,Not Applicable,,,Delegate acknowledged event terms,Acknowledged
Content Download,Forge Digital,Mary Reyes,Security Consultant,maryr@forgedigital.com,(940) 508-5500,5296 Valley Dr,Portland,OR,United States  ,97201,Insurance Carriers,Insurance Carriers,High,101-500,Unavailable,2026-06-10 13:42:04,Threat Intelligence Briefing,,,Delegate consented to badge scan,Accepted
Content Download,Prism Networks,Richard Gomez,Third Party Risk Manager,richard.gomez@prismnetwork.com,+18 207-6289,7238 Cedar Blvd,Stockholm,Stockholm,Sweden,11120,Educational Services,Educational Services,Low,101-500,$50M-$100M,2026-06-10 14:42:54,Container Security Workshop,,,Delegate acknowledged event terms,Acknowledged
Badge Scan,Quantum Systems,Mary Ruiz,CTO,maryr@quantumsyste.co,(476) 915-3790,2357 Washington Ave,Vancouver,British Columbia,Canada,V6B,Educational Services,Educational Services,High,101-500,$10M-$50M,2026-06-10 13:48:47,"Research, News, And Perspectives",,,Delegate consented to badge scan,Accepted
Badge Scan,Radiant Software,Frances Evans,Email Security Analyst,francese@radiantsoftw.org,+29 194-5322,4953 Elm St,Dubai,Dubai,United Arab Emirates,00000,Oil And Gas Extraction,Oil And Gas Extraction,Medium,1K-5K,$50M-$100M,2026-06-10 09:25:12,Hacking The AI Stack: Live Red Team Demo,,,Delegate consented to badge scan,Accepted
Exhibitor Bookmarked,Polaris AI,Christian Davis,Application Security Engineer,christian@polarisai.org,(978) 519-8438,2623 Church St,New York,NY,United States  ,10001,General Medical And Surgical Hospitals,General Medical And Surgical Hospitals,Very Low,501-1K,$50M-$100M,2026-06-10 14:37:11,XDR Platform Overview,,,Delegate acknowledged event terms,Acknowledged
Content Download,Stratos Computing,Kelly Richardson,Risk Analyst,kelly.richardson@stratoscompu.net,(350) 672-2755,1905 Cedar Blvd,Los Angeles,CA,United States  ,90001,Other Information Services,Other Information Services,Very Low,Unavailable,$10M-$50M,2026-06-10 12:51:22,Defensive AI Security Panel,,,Delegate consented to badge scan,Accepted
